Date,Subject,Age,Sex,TrialNumber,BlockNumber,Block,VideoPath,AudioPath,SpeakerID,ListenerID,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,Condition,SpeakerSex,Duration,CorrectResp,Resp,LikertResp
2023-12-08 13:35:37.832831,15,m,21,1,2,vv,./stim/processed_extracts/true/40\4_vv.mov,./stim/processed_extracts/audio/40/4_audio.wav,F10,M10,40,40,4,4,TRUE,F,15,g,g,2
2023-12-08 13:35:37.832831,15,m,21,2,2,vv,./stim/processed_extracts/fake/35\1_3_vv.mov,./stim/processed_extracts/audio/35/1_3_audio.wav,F9,M11,35,35,3,1,fake_wd,F,11,g,g,1
2023-12-08 13:35:37.832831,15,m,21,3,2,vv,./stim/processed_extracts/fake/3\1_6_vv.mov,./stim/processed_extracts/audio/3/1_6_audio.wav,M1,F2,3,3,1,6,fake_wd,M,7,g,g,1
2023-12-08 13:35:37.832831,15,m,21,4,2,vv,./stim/processed_extracts/fake_ad/58\49_6_60_7_vv.mov,./stim/processed_extracts/audio/58/49_6_60_7_audio.wav,M15,F15,49,60,6,7,fake_ad,M,17,g,g,1
2023-12-08 13:35:37.832831,15,m,21,5,2,vv,./stim/processed_extracts/true/9\2_vv.mov,./stim/processed_extracts/audio/9/2_audio.wav,M4,F1,9,9,2,2,TRUE,M,6,g,h,1
2023-12-08 13:35:37.832831,15,m,21,6,2,vv,./stim/processed_extracts/true/18\4_vv.mov,./stim/processed_extracts/audio/18/4_audio.wav,M5,F5,18,18,4,4,TRUE,M,9,g,h,2
2023-12-08 13:35:37.832831,15,m,21,7,2,vv,./stim/processed_extracts/fake/2\2_3_vv.mov,./stim/processed_extracts/audio/2/2_3_audio.wav,F1,M2,2,2,3,2,fake_wd,F,8,g,h,1
2023-12-08 13:35:37.832831,15,m,21,8,2,vv,./stim/processed_extracts/true/37\1_vv.mov,./stim/processed_extracts/audio/37/1_audio.wav,F11,M10,37,37,1,1,TRUE,F,6,g,g,1
2023-12-08 13:35:37.832831,15,m,21,9,2,vv,./stim/processed_extracts/true/26\4_vv.mov,./stim/processed_extracts/audio/26/4_audio.wav,F6,M8,26,26,4,4,TRUE,F,10,g,g,2
2023-12-08 13:35:37.832831,15,m,21,10,2,vv,./stim/processed_extracts/true/21\3_vv.mov,./stim/processed_extracts/audio/21/3_audio.wav,F5,M7,21,21,3,3,TRUE,F,13,g,g,1
2023-12-08 13:35:37.832831,15,m,21,11,2,vv,./stim/processed_extracts/true/34\5_vv.mov,./stim/processed_extracts/audio/34/5_audio.wav,F10,M9,34,34,5,5,TRUE,F,16,g,h,1
2023-12-08 13:35:37.832831,15,m,21,12,2,vv,./stim/processed_extracts/true/4\4_vv.mov,./stim/processed_extracts/audio/4/4_audio.wav,M2,F2,4,4,4,4,TRUE,M,7,g,g,3
2023-12-08 13:35:37.832831,15,m,21,13,2,vv,./stim/processed_extracts/fake/47\5_6_vv.mov,./stim/processed_extracts/audio/47/5_6_audio.wav,F13,M13,47,47,6,5,fake_wd,F,12,g,h,2
2023-12-08 13:35:37.832831,15,m,21,14,2,vv,./stim/processed_extracts/true/55\1_vv.mov,./stim/processed_extracts/audio/55/1_audio.wav,F15,M14,55,55,1,1,TRUE,F,14,g,h,1
