,index,Date,Subject,Age,Sex,TrialNumber,BlockNumber,Block,VideoPath,AudioPath,SpeakerID,ListenerID,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,Condition,SpeakerSex,Duration,CorrectResp,Resp,LikertResp,Accuracy,DisplayedDyad,listener_au,model_performance
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU12,-0.0350835145838678
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU14,0.14010971806639502
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU15,-0.0034283522947719343
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU17,0.19625243995851666
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU23,0.4404698762573481
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU24,0.1612072468690499
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU25,0.07470311894849437
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU26,0.3799090434170122
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU28,0.19858572835460586
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU43,0.2484896113807156
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,Pitch,0.09656586746910635
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU12,0.4493931890343572
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU14,0.5990489713582702
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU15,-0.06102076959237091
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU17,0.1961808414650015
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU23,-0.2371282106299806
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU24,0.17105961027670574
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU25,0.32391981125087804
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU26,0.043630001202539945
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU28,-0.1530776455530882
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU43,-0.3605497842460219
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,Pitch,-0.0032062808105188384
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU12,-0.09770182712084777
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU14,0.47732543219640405
