,trial,condition,listener_au,duration,dyad,times_presented,model_performance,subject_accuracy,confidence,genuineness
0,./stim/processed_extracts/true/1\3_va.mov,true,AU12,26,1,6,0.08025408108369621,1.0,3.3333333333333335,1.0
1,./stim/processed_extracts/true/2\1_va.mov,true,AU12,11,2,6,0.34271303562186795,0.3333333333333333,3.5,0.3333333333333333
2,./stim/processed_extracts/true/3\2_va.mov,true,AU12,15,3,5,0.04196268824640741,0.8,3.2,0.8
3,./stim/processed_extracts/true/3\7_va.mov,true,AU12,7,3,5,0.24795757771401575,0.4,3.2,0.4
4,./stim/processed_extracts/true/4\4_va.mov,true,AU12,7,4,7,0.29110713656262116,0.7142857142857143,2.4285714285714284,0.7142857142857143
5,./stim/processed_extracts/true/4\7_va.mov,true,AU12,19,4,5,-0.30454744660535693,0.8,3.4,0.8
6,./stim/processed_extracts/true/5\1_va.mov,true,AU12,19,5,4,-0.09770182712084777,1.0,3.0,1.0
7,./stim/processed_extracts/true/5\2_va.mov,true,AU12,15,5,4,0.12984635639943173,0.5,3.25,0.5
8,./stim/processed_extracts/true/5\5_va.mov,true,AU12,7,5,5,0.3673877781016569,0.6,2.4,0.6
9,./stim/processed_extracts/true/6\3_va.mov,true,AU12,23,6,2,0.31287871785918636,1.0,4.0,1.0
10,./stim/processed_extracts/true/7\3_va.mov,true,AU12,7,7,9,0.11426756634970155,0.7777777777777778,2.7777777777777777,0.7777777777777778
11,./stim/processed_extracts/true/8\1_va.mov,true,AU12,7,8,7,0.3291573895257887,0.42857142857142855,2.142857142857143,0.42857142857142855
12,./stim/processed_extracts/true/8\3_va.mov,true,AU12,5,8,5,-0.22039941072370625,0.6,1.8,0.6
13,./stim/processed_extracts/true/9\2_va.mov,true,AU12,6,9,8,-0.052261148136837514,1.0,3.625,1.0
14,./stim/processed_extracts/true/10\5_va.mov,true,AU12,12,10,9,0.29201066381409346,0.4444444444444444,2.5555555555555554,0.4444444444444444
15,./stim/processed_extracts/true/11\7_va.mov,true,AU12,22,11,8,0.2642523315014993,0.875,3.25,0.875
16,./stim/processed_extracts/true/11\8_va.mov,true,AU12,24,11,5,-0.07468210425717649,0.4,2.8,0.4
17,./stim/processed_extracts/true/11\9_va.mov,true,AU12,19,11,6,0.4533300947714249,0.6666666666666666,3.3333333333333335,0.6666666666666666
18,./stim/processed_extracts/true/12\1_va.mov,true,AU12,8,12,5,0.007522325736291354,0.6,2.8,0.6
19,./stim/processed_extracts/true/12\3_va.mov,true,AU12,13,12,7,0.20758223466749454,0.42857142857142855,3.142857142857143,0.42857142857142855
20,./stim/processed_extracts/true/13\2_va.mov,true,AU12,12,13,10,-0.010852761800808535,0.5,2.4,0.5
21,./stim/processed_extracts/true/13\6_va.mov,true,AU12,18,13,6,-0.23782346219109987,1.0,3.0,1.0
22,./stim/processed_extracts/true/14\2_va.mov,true,AU12,7,14,5,-0.07021196472033005,0.4,2.6,0.4
