subj,trial,block,date,stim,stim_order,response,rt,param_index,video_path,condition,duration,dyad,mouth_fit,eye_fit,genuineness,category,block,audio_path
114,0,0,2024-07-29T19:14:03.947Z,14_1_5_mouth.mov,0,yes,8918,0,./stimuli/mouth/14_1_5.mov,fake,8,14,0.425744218880069,-0.2822823059139167,0.6666666666666666,fa,mouth,./stimuli/audio/14/1_5_audio.wav
114,1,0,2024-07-29T19:14:03.947Z,14_2_mouth.mov,0,no,7883,0,./stimuli/mouth/14_2.mov,true,7,14,0.4572036208800272,-0.1681404751306418,0.4,miss,mouth,./stimuli/audio/14/2_audio.wav
114,2,0,2024-07-29T19:14:03.947Z,1_2_4_3_3_mouth.mov,0,no,1279,0,./stimuli/mouth/1_2_4_3_3.mov,fake,10,1,-0.3042674796373409,0.2984003203761494,0.3333333333333333,cr,mouth,./stimuli/audio/1/2_4_3_3_audio.wav
114,3,0,2024-07-29T19:14:03.947Z,40_5_8_mouth.mov,0,yes,2530,0,./stimuli/mouth/40_5_8.mov,fake,10,40,-0.1760169325241136,0.34136273084577456,0.2,cr,mouth,./stimuli/audio/40/5_8_audio.wav
114,4,0,2024-07-29T19:14:03.947Z,22_19_3_23_2_mouth.mov,0,yes,2761,0,./stimuli/mouth/22_19_3_23_2.mov,fake,11,22,0.08484422710888113,-0.043331687022501224,0.6,fa,mouth,./stimuli/audio/22/19_3_23_2_audio.wav
114,5,0,2024-07-29T19:14:03.947Z,45_3_mouth.mov,0,yes,1692,0,./stimuli/mouth/45_3.mov,true,7,45,0.16889004277659403,0.038899221686994556,0.125,miss,mouth,./stimuli/audio/45/3_audio.wav
114,6,0,2024-07-29T19:14:03.947Z,31_5_9_mouth.mov,0,yes,1203,0,./stimuli/mouth/31_5_9.mov,fake,8,31,-0.3194713972959606,0.30648918937054725,0.25,cr,mouth,./stimuli/audio/31/5_9_audio.wav
114,7,0,2024-07-29T19:14:03.947Z,49_52_1_58_4_mouth.mov,0,yes,1592,0,./stimuli/mouth/49_52_1_58_4.mov,fake,7,49,0.2377582648191723,-0.22737814057092437,0.6,fa,mouth,./stimuli/audio/49/52_1_58_4_audio.wav
114,8,0,2024-07-29T19:14:03.947Z,55_4_7_mouth.mov,0,no,3488,0,./stimuli/mouth/55_4_7.mov,fake,12,55,0.07584842753372179,-0.17660186780226106,0.625,fa,mouth,./stimuli/audio/55/4_7_audio.wav
114,9,0,2024-07-29T19:14:03.947Z,1_3_mouth.mov,0,yes,7336,0,./stimuli/mouth/1_3.mov,true,26,1,0.1670316296049371,0.1814596651596774,1.0,hit,mouth,./stimuli/audio/1/3_audio.wav
114,10,0,2024-07-29T19:14:03.947Z,28_26_5_27_6_mouth.mov,0,no,19804,0,./stimuli/mouth/28_26_5_27_6.mov,fake,7,28,0.14365129216079786,-0.12388720765740559,0.75,fa,mouth,./stimuli/audio/28/26_5_27_6_audio.wav
114,11,0,2024-07-29T19:14:03.947Z,10_3_6_mouth.mov,0,no,1705,0,./stimuli/mouth/10_3_6.mov,fake,6,10,-0.3597339671539078,0.153488504955574,0.3333333333333333,cr,mouth,./stimuli/audio/10/3_6_audio.wav
114,12,0,2024-07-29T19:14:03.947Z,47_3_mouth.mov,0,no,2551,0,./stimuli/mouth/47_3.mov,true,9,47,0.20621953119091913,-0.16083945449198914,0.2,miss,mouth,./stimuli/audio/47/3_audio.wav
114,13,0,2024-07-29T19:14:03.947Z,58_5_mouth.mov,0,yes,2050,0,./stimuli/mouth/58_5.mov,true,10,58,0.3512393589458156,-0.10630635603297785,0.25,miss,mouth,./stimuli/audio/58/5_audio.wav
114,14,0,2024-07-29T19:14:03.947Z,54_2_6_mouth.mov,0,no,2739,0,./stimuli/mouth/54_2_6.mov,fake,9,54,-0.29618043652047055,0.3949913972066293,0.25,cr,mouth,./stimuli/audio/54/2_6_audio.wav
114,15,0,2024-07-29T19:14:03.947Z,31_7_mouth.mov,0,no,2972,0,./stimuli/mouth/31_7.mov,true,10,31,0.2819450977061281,0.42806784940014414,1.0,hit,mouth,./stimuli/audio/31/7_audio.wav
114,16,0,2024-07-29T19:31:36.261Z,36_3_mouth.mov,0,yes,768,0,./stimuli/mouth/36_3.mov,true,9,36,0.329614763427785,-0.023430414005525233,0.16666666666666666,miss,mouth,./stimuli/audio/36/3_audio.wav
114,17,0,2024-07-29T19:31:36.261Z,45_46_1_47_1_mouth.mov,0,yes,3816,0,./stimuli/mouth/45_46_1_47_1.mov,fake,10,45,-0.26192066238859296,0.2611161119528825,0.0,cr,mouth,./stimuli/audio/45/46_1_47_1_audio.wav
114,18,0,2024-07-29T19:31:36.261Z,57_3_mouth.mov,0,yes,415,0,./stimuli/mouth/57_3.mov,true,13,57,0.4051063890989022,0.22300043342787418,0.8333333333333334,hit,mouth,./stimuli/audio/57/3_audio.wav
114,19,0,2024-07-29T19:31:36.261Z,8_1_mouth.mov,0,yes,2579,0,./stimuli/mouth/8_1.mov,true,7,8,0.43411028057714246,-0.10019960292337136,0.42857142857142855,miss,mouth,./stimuli/audio/8/1_audio.wav
114,20,0,2024-07-29T19:31:36.261Z,2_2_3_mouth.mov,0,yes,5167,0,./stimuli/mouth/2_2_3.mov,fake,8,2,0.129174971279355,-0.050235536081676954,0.5714285714285714,fa,mouth,./stimuli/audio/2/2_3_audio.wav
114,21,0,2024-07-29T19:38:43.843Z,43_3_7_mouth.mov,0,no,6023,0,./stimuli/mouth/43_3_7.mov,fake,11,43,0.030979213372310438,-0.09750080961576384,0.75,fa,mouth,./stimuli/audio/43/3_7_audio.wav
114,22,0,2024-07-29T19:38:43.843Z,46_2_mouth.mov,0,no,5635,0,./stimuli/mouth/46_2.mov,true,8,46,0.22314361077696993,-0.37187593532122043,0.4,miss,mouth,./stimuli/audio/46/2_audio.wav
114,23,0,2024-07-29T19:38:43.843Z,58_1_2_mouth.mov,0,yes,2661,0,./stimuli/mouth/58_1_2.mov,fake,14,58,0.10435640304664591,0.02021080964410129,0.6,fa,mouth,./stimuli/audio/58/1_2_audio.wav
114,24,0,2024-07-29T19:38:43.843Z,19_17_2_25_2_mouth.mov,0,yes,2813,0,./stimuli/mouth/19_17_2_25_2.mov,fake,10,19,-0.3062581015621111,0.3018231666755847,0.25,cr,mouth,./stimuli/audio/19/17_2_25_2_audio.wav
