subj,trial,block,date,stim,stim_order,response,rt,param_index,video_path,condition,duration,dyad,mouth_fit,eye_fit,genuineness,category,block,audio_path
258,0,0,2024-07-30T09:43:59.755Z,52_3_original.mov,0,no,6233,0,./stimuli/original/52_3.mov,true,10,52,0.21043791277346344,0.28058110062308483,0.75,hit,original,./stimuli/audio/52/3_audio.wav
258,1,0,2024-07-30T09:43:59.755Z,47_3_original.mov,0,no,2043,0,./stimuli/original/47_3.mov,true,9,47,0.20621953119091913,-0.16083945449198914,0.2,miss,original,./stimuli/audio/47/3_audio.wav
258,2,0,2024-07-30T09:43:59.755Z,19_17_2_25_2_original.mov,0,no,1068,0,./stimuli/original/19_17_2_25_2.mov,fake,10,19,-0.3062581015621111,0.3018231666755847,0.25,cr,original,./stimuli/audio/19/17_2_25_2_audio.wav
258,3,0,2024-07-30T09:43:59.755Z,36_3_original.mov,0,yes,1188,0,./stimuli/original/36_3.mov,true,9,36,0.329614763427785,-0.023430414005525233,0.16666666666666666,miss,original,./stimuli/audio/36/3_audio.wav
258,4,0,2024-07-30T09:43:59.755Z,5_1_original.mov,0,yes,1087,0,./stimuli/original/5_1.mov,true,19,5,0.27128235194238964,0.3313292072657651,1.0,hit,original,./stimuli/audio/5/1_audio.wav
258,5,0,2024-07-30T09:43:59.755Z,8_1_original.mov,0,yes,1300,0,./stimuli/original/8_1.mov,true,7,8,0.43411028057714246,-0.10019960292337136,0.42857142857142855,miss,original,./stimuli/audio/8/1_audio.wav
258,6,0,2024-07-30T09:43:59.755Z,58_5_original.mov,0,yes,1359,0,./stimuli/original/58_5.mov,true,10,58,0.3512393589458156,-0.10630635603297785,0.25,miss,original,./stimuli/audio/58/5_audio.wav
258,7,0,2024-07-30T09:43:59.755Z,22_19_3_23_2_original.mov,0,no,2120,0,./stimuli/original/22_19_3_23_2.mov,fake,11,22,0.08484422710888113,-0.043331687022501224,0.6,fa,original,./stimuli/audio/22/19_3_23_2_audio.wav
258,8,0,2024-07-30T09:43:59.755Z,49_52_1_58_4_original.mov,0,no,1032,0,./stimuli/original/49_52_1_58_4.mov,fake,7,49,0.2377582648191723,-0.22737814057092437,0.6,fa,original,./stimuli/audio/49/52_1_58_4_audio.wav
258,9,0,2024-07-30T09:43:59.755Z,12_3_original.mov,0,yes,1563,0,./stimuli/original/12_3.mov,true,13,12,0.3155735483651602,-0.04266906465109103,0.42857142857142855,miss,original,./stimuli/audio/12/3_audio.wav
