Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7adb9524ff02845659c5e,66a0fc886738945662b93863,APPROVED,Not Applicable,2024-07-29T14:56:57.385000Z,2024-07-29T15:09:46.809000Z,2024-07-29T15:12:29.630000Z,2024-07-29T15:10:51.335762Z,770.0,CDDT2OUD,4,"Arabic, English, French",27,Male,White,Algeria,Netherlands,Algeria,Arabic,No,Full-Time
66a7adc4c0554922e66d12d6,5efbce484cee781856fc95ef,RETURNED,Not Applicable,2024-07-29T14:57:17.357000Z,,,2024-07-29T21:40:42.620709Z,,,320,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7adf459ee912d0b41dbd6,66a0fffefd1a9637cb7e624d,RETURNED,Not Applicable,2024-07-29T14:58:27.416000Z,,,2024-07-29T21:40:42.622912Z,,,1,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7adf6e8fe33a134821b5d,660c0269f4ac950966a37c9d,RETURNED,Not Applicable,2024-07-29T14:58:04.737000Z,,,2024-07-29T21:40:42.624481Z,,,30,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7adfb47414f09af55e1e6,66a7990001344d21d3016094,RETURNED,Not Applicable,2024-07-29T15:08:03.112000Z,,,2024-07-29T21:40:42.627740Z,,,2,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7ae0909156e5082b2033a,6640d335c3bd92869fd60df4,APPROVED,Not Applicable,2024-07-29T15:01:54.285000Z,2024-07-29T15:18:26.945000Z,2024-07-29T15:18:28.586000Z,2024-07-29T15:18:27.626824Z,993.0,CDDT2OUD,50,"English, French",21,Male,Mixed,Canada,Canada,Canada,English,Yes,Full-Time
66a7ae93c4ecfcdb68bcfed6,66226054339d9c04087b9355,TIMED-OUT,Not Applicable,2024-07-29T15:00:42.798000Z,,,2024-07-29T21:40:42.636458Z,24000.0,,4,French,24,Female,White,France,France,France,French,Yes,Full-Time
66a7aead918f0dadc6deab92,6545004ad23fe26477539571,APPROVED,Not Applicable,2024-07-29T15:01:04.777000Z,2024-07-29T15:20:09.072000Z,2024-07-29T15:20:09.792000Z,2024-07-29T15:20:09.717111Z,1145.0,CDDT2OUD,221,French,32,Male,Black,France,France,France,French,No,Full-Time
66a7aebb2ac31f1043cf2fb2,665f10dc49cd980fdf304c19,APPROVED,Not Applicable,2024-07-29T15:03:38.836000Z,2024-07-29T15:25:55.837000Z,2024-07-29T15:28:27.930000Z,2024-07-29T15:28:02.373897Z,1338.0,CDDT2OUD,36,"Afrikaans, English, Other, Swahili, French",37,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
66a7aed2092064818bd3f231,66a3954d48053697d9591403,APPROVED,Not Applicable,2024-07-29T15:01:38.977000Z,2024-07-29T15:14:08.087000Z,2024-07-29T15:14:09.614000Z,2024-07-29T15:14:08.602466Z,750.0,CDDT2OUD,2,French,27,Female,White,France,France,France,French,No,Unemployed (and job seeking)
