Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7d4ef8e4d72abef0663c3,665d94712b964d877bf9f132,APPROVED,Not Applicable,2024-07-29T17:46:59.387000Z,2024-07-29T18:08:24.356000Z,2024-07-29T18:11:40.810000Z,2024-07-29T18:08:25.031076Z,1285.0,CDDT2OUD,64,"Dutch, English, German, French, Italian",21,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
66a7d5213a3c4f05a9dd1a71,600a8a00803c42205d75904d,APPROVED,Not Applicable,2024-07-29T17:45:11.705000Z,2024-07-29T18:03:07.971000Z,2024-07-29T18:05:35.268000Z,2024-07-29T18:05:32.933275Z,1077.0,CDDT2OUD,477,"Italian, French, English",49,Female,White,Italy,Italy,Italy,Italian,Yes,Other
66a7d53157f4e25fb7174cde,65ba52c72a3b38a977b84a3c,APPROVED,Not Applicable,2024-07-29T17:45:25.590000Z,2024-07-29T17:59:29.464000Z,2024-07-29T17:59:30.201000Z,2024-07-29T18:01:25.309772Z,844.0,CDDT2OUD,39,"French, English",20,Female,Other,Morocco,Switzerland,Morocco,Arabic,Yes,Other
66a7d57a5f9e977980dc9096,60eb21bd3807b3a1810ea180,APPROVED,Not Applicable,2024-07-29T17:50:18.668000Z,2024-07-29T18:08:28.565000Z,2024-07-29T18:11:40.058000Z,2024-07-29T18:08:29.293064Z,1090.0,CDDT2OUD,443,"Afrikaans, English, French, Korean",21,Female,Black,Cote d'Ivoire,South Africa,Cote d'Ivoire,French,Yes,Unemployed (and job seeking)
66a7d5d34a687569758be0d6,65d45fe320fa281133c349ba,APPROVED,Not Applicable,2024-07-29T17:51:01.114000Z,2024-07-29T18:08:37.560000Z,2024-07-29T18:11:39.058000Z,2024-07-29T18:08:38.258224Z,1057.0,CDDT2OUD,66,French,46,Female,White,France,France,France,French,No,Unemployed (and job seeking)
66a7d5e2bd0e95da7dfcacd8,5f1bf7bb9f48184274051108,APPROVED,Not Applicable,2024-07-29T17:48:25.172000Z,2024-07-29T18:02:33.950000Z,2024-07-29T18:04:30.768000Z,2024-07-29T18:03:09.182122Z,849.0,CDDT2OUD,1188,"French, English",49,Male,White,France,Ireland,France,French,No,Full-Time
66a7d60e59a9515bd7ad0ed7,6672fb91c060a993e109f2d7,APPROVED,Not Applicable,2024-07-29T17:49:02.883000Z,2024-07-29T18:06:08.155000Z,2024-07-29T19:06:48.657000Z,2024-07-29T18:06:37.696263Z,1026.0,CDDT2OUD,23,"English, Afrikaans, Spanish, French",21,Female,Black,South Africa,South Africa,South Africa,Other,Yes,Part-Time
66a7d646c1bf850e86d3e5bb,65d233b883e87f74728e655b,APPROVED,Not Applicable,2024-07-29T17:50:21.358000Z,2024-07-29T18:03:45.870000Z,2024-07-29T18:05:44.245000Z,2024-07-29T18:05:44.192993Z,805.0,CDDT2OUD,186,"Dutch, English, French",24,Male,White,Belgium,Belgium,Belgium,Dutch,Yes,Other
66a7d67ce1bcf6b3db8e3ddf,608847b530d97363dca68ad6,APPROVED,Not Applicable,2024-07-29T17:54:49.976000Z,2024-07-29T18:10:56.971000Z,2024-07-29T18:11:37.808000Z,2024-07-29T18:11:25.948677Z,967.0,CDDT2OUD,337,"English, French, Polish, Spanish",30,Female,White,Poland,Ireland,Ireland,Polish,Yes,Full-Time
66a7d940ebe015c4f0afabd3,646cbfe0fd851deb22173b4c,APPROVED,Not Applicable,2024-07-29T18:06:48.240000Z,2024-07-29T18:42:00.346000Z,2024-07-29T18:44:17.821000Z,2024-07-29T18:44:39.427047Z,2113.0,CDDT2OUD,296,"English, French, German, Spanish, Portuguese",25,Female,Asian,South Africa,South Africa,South Africa,English,Yes,Full-Time
