Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66b60aded9ef5838d8839c03,5a95825b1eda41000136321d,APPROVED,Not Applicable,2024-08-09T12:26:12.461000Z,2024-08-09T12:36:13.394000Z,2024-08-09T12:36:51.696000Z,2024-08-09T12:36:14.085026Z,601.0,CDDT2OUD,379,French,27,Female,White,Belgium,Belgium,Belgium,French,Yes,Full-Time
66b60d5d41c7a26766f71336,66869f626754bf89bf23be80,APPROVED,Not Applicable,2024-08-09T12:37:39.693000Z,2024-08-09T12:50:15.500000Z,2024-08-09T12:50:16.956000Z,2024-08-09T12:50:30.845530Z,756.0,CDDT2OUD,15,French,20,Male,White,France,France,France,French,Yes,Unemployed (and job seeking)
66b610aab242ed95a9274f8b,65c8daca77047638458fd4bd,APPROVED,Not Applicable,2024-08-09T12:51:08.517000Z,2024-08-09T13:23:36.332000Z,2024-08-09T13:23:37.044000Z,2024-08-09T13:23:36.970205Z,1948.0,CDDT2OUD,104,"English, French, Korean",24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
66b6185d79e738e9c2b4a3f5,66aa5ddc882c2c10897fc25f,APPROVED,Not Applicable,2024-08-09T13:23:47.330000Z,2024-08-09T13:33:36.940000Z,2024-08-09T13:35:09.290000Z,2024-08-09T13:34:51.314004Z,590.0,CDDT2OUD,11,"English, Turkish, French",28,Female,White,Turkey,Germany,Turkey,Turkish,No,Other
66b61ab9382c108063bf1932,6672f004b99cab96498a3420,APPROVED,Not Applicable,2024-08-09T13:41:14.981000Z,2024-08-09T13:59:52.306000Z,2024-08-09T13:59:54.057000Z,2024-08-09T13:59:53.194835Z,1118.0,CDDT2OUD,96,"English, French, Spanish, Catalan",21,Male,White,Spain,Spain,Spain,Spanish,Yes,Other
66b620e1217f905382984bd0,66b37e2e0f0b1f062885db6f,APPROVED,Not Applicable,2024-08-09T14:00:21.889000Z,2024-08-09T14:28:29.699000Z,2024-08-09T14:28:30.672000Z,2024-08-09T14:29:02.363531Z,1688.0,CDDT2OUD,3,"English, French, Afrikaans",31,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
66b62798768c48d23925ace7,6682f0ab394c61feb913beb7,APPROVED,Not Applicable,2024-08-09T14:28:54.057000Z,2024-08-09T14:39:50.319000Z,2024-08-09T14:39:51.158000Z,2024-08-09T14:40:58.429925Z,657.0,CDDT2OUD,44,French,19,Male,White,France,France,France,French,No,Full-Time
66b62a37a7b538288cd2e7d5,65fae22c0f73edcc23fd29d9,APPROVED,Not Applicable,2024-08-09T14:39:51.243000Z,2024-08-09T15:13:48.997000Z,2024-08-09T15:13:49.786000Z,2024-08-09T15:13:51.157092Z,2038.0,CDDT2OUD,46,"English, French, Spanish, Swahili",31,Male,Black,Kenya,Kenya,Kenya,Swahili,Yes,Unemployed (and job seeking)
66b63239b50bb3af8a607f03,66027ecb57ff798269b84a2a,APPROVED,Not Applicable,2024-08-09T15:15:06.159000Z,2024-08-09T15:26:38.327000Z,2024-08-09T15:26:43.857000Z,2024-08-09T15:26:39.093709Z,693.0,CDDT2OUD,163,"Arabic, French, English",25,Male,Other,Lebanon,Italy,Lebanon,Arabic,Yes,Other
66b6352ea3f352b577768533,63174af7d57182f9bf90c094,APPROVED,Not Applicable,2024-08-09T15:26:38.407000Z,2024-08-09T15:37:58.659000Z,2024-08-09T15:38:01.626000Z,2024-08-09T15:37:59.544465Z,681.0,CDDT2OUD,2444,"English, French, Italian, Spanish",44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66b6074e30c4cefaa88c9d34,663b779c7c915070284fd835,RETURNED,Not Applicable,2024-08-09T12:11:14.453000Z,,,,,,73,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66b60844dd0d8453a23369c2,66630ca6612cd08f428bd571,RETURNED,Not Applicable,2024-08-09T12:26:00.023000Z,,,,,,65,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
