Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a8a14c65628e0fbcb89097,6154da78b6a8559d66a85e48,APPROVED,Not Applicable,2024-07-30T08:16:20.841000Z,2024-07-30T08:28:07.329000Z,2024-07-30T08:29:18.055000Z,2024-07-30T08:29:20.834010Z,707.0,CDDT2OUD,112,"English, French",27,Male,White,France,France,France,French,No,DATA_EXPIRED
66a8a218648459b807fb822f,5be3252a2dedc30001869bf8,APPROVED,Not Applicable,2024-07-30T08:19:44.414000Z,2024-07-30T08:32:22.652000Z,2024-07-30T08:33:35.953000Z,2024-07-30T08:32:23.150657Z,759.0,CDDT2OUD,885,"Dutch, French, English",31,Female,White,Belgium,Belgium,Belgium,Dutch,No,Full-Time
66a8a2c35b8284f181093a2a,66700622cd4b3f63eeead6e4,APPROVED,Not Applicable,2024-07-30T08:22:41.370000Z,2024-07-30T08:55:12.775000Z,2024-07-30T08:55:38.352000Z,2024-07-30T08:56:11.866619Z,1952.0,CDDT2OUD,39,"English, German, Hebrew, Japanese, French",53,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
66a8a2f4d0ebe3e0c38f8953,65aec250258f4c49e4085f85,APPROVED,Not Applicable,2024-07-30T08:23:24.501000Z,2024-07-30T08:38:56.392000Z,2024-07-30T08:39:26.455000Z,2024-07-30T08:42:28.760225Z,932.0,CDDT2OUD,36,"English, French",75,Male,White,Belgium,Belgium,Belgium,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66a8a4524541f95847b9cc48,66a12a62269b3a1ae9e9f4b8,APPROVED,Not Applicable,2024-07-30T08:29:25.805000Z,2024-07-30T08:41:56.199000Z,2024-07-30T08:41:58.759000Z,2024-07-30T08:42:49.424396Z,751.0,CDDT2OUD,1,French,43,Female,White,France,France,France,French,No,Full-Time
66a8a52bbee0ccc4e8e8ec38,66548eb015000e0afe397697,APPROVED,Not Applicable,2024-07-30T08:32:53.884000Z,2024-07-30T08:45:30.651000Z,2024-07-30T08:45:32.594000Z,2024-07-30T08:45:31.345322Z,757.0,CDDT2OUD,36,French,24,Female,White,France,France,France,French,Yes,Full-Time
66a8a6b3bd0ac469174b191a,6613e9f1dd878ee14b0d564d,APPROVED,Not Applicable,2024-07-30T08:39:25.413000Z,2024-07-30T09:20:34.427000Z,2024-07-30T09:20:38.008000Z,2024-07-30T09:20:35.217682Z,2470.0,CDDT2OUD,108,"English, French, Afrikaans",26,Female,Black,Zimbabwe,South Africa,Zimbabwe,English,No,Full-Time
66a8a751cc8ff0c718795f9d,6693fa16a593e2a8af8f316e,APPROVED,Not Applicable,2024-07-30T08:42:01.400000Z,2024-07-30T08:52:44.495000Z,2024-07-30T08:54:33.709000Z,2024-07-30T08:54:33.634205Z,644.0,CDDT2OUD,16,French,40,Female,White,France,France,France,French,No,Full-Time
66a8a7554414aaec48b23d00,66014dfebb8c4ad4f4e266e9,APPROVED,Not Applicable,2024-07-30T08:42:03.695000Z,2024-07-30T08:55:42.504000Z,2024-07-30T08:55:43.198000Z,2024-07-30T08:56:24.024818Z,819.0,CDDT2OUD,67,French,23,Male,White,France,France,France,French,Yes,Full-Time
66a8a839b42c22a1763bf502,6694e6a3ab6152a969f517c2,APPROVED,Not Applicable,2024-07-30T08:53:28.101000Z,2024-07-30T09:06:59.624000Z,2024-07-30T09:07:40.552000Z,2024-07-30T09:08:39.587901Z,812.0,CDDT2OUD,1,French,26,Male,White,France,France,France,French,Yes,DATA_EXPIRED
66a8a9e6cc7cab9500396056,65eb0792e04c0cede7789a20,APPROVED,Not Applicable,2024-07-30T08:53:04.332000Z,2024-07-30T09:07:11.200000Z,2024-07-30T09:07:41.991000Z,2024-07-30T09:08:47.613381Z,847.0,CDDT2OUD,46,French,35,Male,Other,Switzerland,Switzerland,Switzerland,French,No,Part-Time
66a8aa8056a0548326fa4893,65a53afe907d7408050fab70,APPROVED,Not Applicable,2024-07-30T08:55:38.094000Z,2024-07-30T09:06:55.514000Z,2024-07-30T09:10:22.338000Z,2024-07-30T09:08:39.141159Z,678.0,CDDT2OUD,93,"French, English",28,Male,White,France,France,France,French,No,Full-Time
66a8aac4b6dda22528b89227,5fdcad62eed16d2504b27f5a,APPROVED,Not Applicable,2024-07-30T08:56:40.449000Z,2024-07-30T09:17:34.061000Z,2024-07-30T09:17:34.817000Z,2024-07-30T09:17:34.724131Z,1254.0,CDDT2OUD,394,"English, French, German, Swahili",20,Female,Black,Congo the Democratic Republic of the,South Africa,Congo the Democratic Republic of the,English,Yes,Full-Time
66a8ad3679c4f5ea97c12761,5974ce5364b35a00019dd811,APPROVED,Not Applicable,2024-07-30T09:07:17.934000Z,2024-07-30T09:17:44.602000Z,2024-07-30T13:27:14.541000Z,2024-07-30T09:17:45.315905Z,627.0,CDDT2OUD,1796,French,25,Male,White,France,France,France,French,No,Full-Time
66a8af306a494d4ee8db4e85,65bf760f53421206e0db43e7,APPROVED,Not Applicable,2024-07-30T09:19:28.916000Z,2024-07-30T09:31:32.097000Z,2024-07-30T09:31:32.790000Z,2024-07-30T09:31:32.706502Z,724.0,CDDT2OUD,154,French,26,Male,White,France,France,France,French,No,Part-Time
